id;дата;вопрос;ответ;требует_проверки;причина;источники
5db21a19-4f00-4b87-93e8-c5c31d010fe8;2026-08-26 19:57:25;Какой размер бонуса за лучший мем месяца?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
351fd320-6589-4808-8fe0-683c96a3159c;2026-08-26 19:57:09;До какого времени нужно провести стендап?;Стендап нужно провести до 10:30.;нет;;Рабочий день начинается с короткого стендапа до 10:30. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
60fe3ef2-2429-4649-920b-07113887b7de;2026-08-26 19:52:45;Какой размер бонуса за лучший мем месяца?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
84fde549-6819-4591-b1fd-255d504b895c;2026-08-26 19:52:32;До какого времени нужно провести стендап?;Стендап нужно провести до 10:30.;нет;;Рабочий день начинается с короткого стендапа до 10:30. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
71360df5-3728-47b9-bec2-853d10384f91;2026-08-26 19:49:06;Какой размер бонуса за лучший мем месяца?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
64819266-ff5b-4487-9a56-e2474450d6ad;2026-08-26 19:48:58;До какого времени нужно провести стендап?;Стендап нужно провести до 10:30.;нет;;Рабочий день начинается с короткого стендапа до 10:30. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
c02584b5-287d-4ce9-a0d5-e4fb8714caa0;2026-08-26 19:31:00;До какого времени нужно провести стендап?;Стендап нужно провести до 10:30.;нет;;Рабочий день начинается с короткого стендапа до 10:30. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
e1090b1d-726d-44cb-acd2-c8951550883f;2026-08-26 19:27:07;До какого времени нужно провести стендап?;Стендап нужно провести до 10:30.;нет;;Рабочий день начинается с короткого стендапа до 10:30. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
58c862b5-eb59-4b42-b1e2-08eace6d9508;2026-08-26 17:34:41;До какого времени нужно провести стендап?;Стендап нужно провести до 10:30.;нет;;Рабочий день начинается с короткого стендапа до 10:30. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
5a6f872a-d563-482b-934c-fae0d14d1b5b;2026-08-26 17:33:38;Какой размер бонуса за лучший мем месяца?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
8ea50b5d-fe89-4eb5-9ac0-6c6c4682e13f;2026-08-26 17:33:16;Какой размер бонуса за лучший мем месяца?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
bd244abf-c2c6-439d-8d38-3525893ab3a6;2026-08-26 14:22:53;Какой размер бонуса за лучший мем месяца?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
006efda7-104e-4e5d-8150-a6acaa4c1b9e;2026-08-26 14:22:53;До какого времени нужно провести стендап?;Стендап нужно провести до 10:30.;нет;;Рабочий день начинается с короткого стендапа до 10:30. [38ac5f5e-78c5-48b4-bc3e-ead8ca222a07]
02605807-48b8-46a7-afa8-298338cc6a2b;2026-08-26 14:22:38;????? ?????? ?????? ?? ?????? ??? ???????;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
22e06bc4-374c-4c29-a4aa-91511bd0b5b8;2026-08-26 14:22:38;?? ?????? ??????? ????? ???????? ????????;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
9851798c-cabd-4c8c-890c-fdf5f290a76a;2026-08-26 14:21:52;Какой пароль от квантового чайника Nebula-7?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
6210b828-dafb-46c2-9652-dc351e1746bb;2026-08-26 14:21:52;Сколько стоит абонемент в марсианский фитнес-клуб Zogatron?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
cbefcb29-4b68-4de3-a9c0-46437740471f;2026-08-26 14:21:52;Какой размер бонуса за лучший мем месяца?;Данных недостаточно: в базе знаний не найдено подходящих фрагментов. Требуется ручная проверка.;да;no_matching_snippets;
f3e67407-48fc-43de-8290-c8fb43e3dd2c;2026-08-26 14:21:52;Какие шаги входят в процесс запуска задачи перед релизом?;В процесс запуска задачи перед релизом входят несколько шагов, включая создание задачи в трекере, прогон чеклиста релиза, обновление базы знаний и закрытие задачи после выполнения Definition of Done.;нет;;Шаг 1. Создать задачу в трекере с целью, Remком и владельцем. [5e747b3f-c9a2-41ab-9caa-b87f47d94cc9] | Шаг 8. Прогнать чеклист релиза: миграции, переменные окружения, rollback-план. [5e747b3f-c9a2-41ab-9caa-b87f47d94cc9] | Шаг 10. Обновить базу знаний, если изменился процесс или ответ клиенту. [5e747b3f-c9a2-41ab-9caa-b87f47d94cc9] | Шаг 11. Закрыть задачу только после выполнения Definition of Done. [5e747b3f-c9a2-41ab-9caa-b87f47d94cc9]
b364feb8-68e9-4bb5-9f9e-a5abc322b706;2026-08-26 14:21:48;Что означает метка needs_review?;Метка needs_review означает, что система не уверена и просит человека о ручной проверке.;нет;;needs_review — метка ручной проверки: система не уверена и просит человека. [6c261b45-446c-417f-8fce-eb0699ea59e9]
8359a3ac-e88c-4812-bfdd-8aa791723cdb;2026-08-26 14:21:45;Какой шаблон использовать для сообщения о задержке?;"Используйте шаблон B для сообщения о задержке: ""Здравствуйте! К сожалению, срок сдвигается. Новая дата: {date}. Причина: {reason}. Мы уже компенсируем задержку приоритетом на следующем этапе.""";нет;;Шаблон B. Задержка поставки: Здравствуйте! К сожалению, срок сдвигается. Новая дата: {date}. Причина: {reason}. [d5b4c629-c23a-4a56-972d-5f5f24405cfa]
